article_text,article_id,article_URL,article_heading,category,article_date,article_page,article_page_sequence,article_Trove_URL,article_snippet,article_title_id,article_title_title,article_relevance_score,article_relevance_value
"?  CANBERRA,Thijrs, AAP -T iiliegal immigrants detected in Austraitia amay .be re* jjuirea -'to' p&y 'costs of their, detention and depbrtatfonl' the act-: inff Minister for Immigration and Ethnic Affairs, Mr Ray Groom, said to.cay,., ? He.. 1nfr6clu*c4 ' : 'he jrati'ori'ieri'mtit pilV/whicb'' will' impjose & /er/es.'"" pf',, ney ' of- grants.'' '*'.' f. Unflr tfre,amefocl:: Writs new, .visa proviisions will : be 'enforced and i,t will .become an ..offence \foii an illegal imniigran't'.'. -to ..work while-iii Australia, ' .* ""There are an. -estiM mated 57.000 illegal wciald b. l£eon : a statutory "" basis and itwould be .an- offeiiejf&S, ' eerier to.""inj aSpeMonfwi'thpermit into the country. :heosa:cV t - ' Exemptions'from this: law will,a'pply, to New Zealand citizens and international visit- ors in transit to ano- 'Deportees will be /required rfrorn, - July.... 1. to - meet "" the ' cost of . thgjr d.et'eiitio.n and depoftiipip -wlilithey are H iji a-osiiiorito do said. ! He said some illegal rmnigrgntss-K cashed, -an' tlaitetjli ti%et'in:iihe 'kavgttht Qiey could be sent home at the/-, expanse of the Australian taxpayer while others accumu- .lated considerable assets while in the country. '",250411441,https://api.trove.nla.gov.au/v3/newspaper/250411441,New immigrant laws,Article,1979-05-11,7,7,https://nla.gov.au/nla.news-article250411441?searchTerm=Immigrant,"CANBERRA, Thurs, AAP — Illegal immigrants detected in Australia may be",1376,Papua New Guinea Post-Courier (Port Moresby : 1969 - 1981),213.3850555419922,very relevant
"From JACK LEON . - Tel Aviv (JCNS) - V Felix Kaplan, the former, tennis champion of Lithuania and a hew arrival in Israel, Is in cluded In Israel’s Davis Cup team to meet Iran In Tehran. Kaplan, aged 27, who arrived just six months ago' with a group of new im migrants from the Soviet Union,, was Lithuania’s No 1 between 1968 and 1971 and a regular competitor in the Russian national: tennis championships. He qpickly made his mark on the local tennis scene. The slimly-bullt former English teacher and journalist is the only newcomer, in tho team, which also Includes Yehoshua Shalom,. Yosef Stabholz and 'fair ! Wer* theimer. Kaplan, who now divides his time between tennis coaching and learning Hebrew, told me lasfweek “My selection to represent Israel in the Davis Cup is the fulfilment of one of my greatest ambitions.’'. ' The International Lawn Tennis Federation ruled that Iran has choice 'of venue for this preliminary round European Zone tie and not Israel as Tan nounced when - the draw yms~ made - in London in July“.",262928646,https://api.trove.nla.gov.au/v3/newspaper/262928646,Immigrant in Cup,Article,1973-10-26,18,18,https://nla.gov.au/nla.news-article262928646?searchTerm=Immigrant,"From JACK LEON Tel Aviv (JCNS) Felix Kaplan, the former, tennis champion of",1685,"The Australian Jewish News (Melbourne, Vic. : 1935 - 1999)",211.62118530273438,very relevant
"? AUCKLAND, Wed AAP. — Migrants from Fiji will be limited to a maximum of 300 a year by the New Zealand National Governments - The Minister of Immigration and Health, Mr Frank Gill, said this today on his return from . a Pacific islands tour. He said that the admittance of this maximum would be on humanitarian grounds. . Mr Gill, in his first Ministerial mission abroad, also told Tongans they would be considered as migrants in future on the same basis as the rest of the world. He advised Western Samoans that a new work permit scheme would gradually replace the a n n u a 1 quota of 1500 immigrants. He also told informed Cook Islanders that New Zealand would ""decide in future whether jobs were available-for them arid housing was satisfactory. I",250320995,https://api.trove.nla.gov.au/v3/newspaper/250320995,NZ immigrant limit,Article,1976-02-12,7,7,https://nla.gov.au/nla.news-article250320995?searchTerm=Immigrant,"AUCKLAND, Wed, AAP. — Migrants from Fiji will be limited to a maximum of 300 a year by the New Zealand National Government. The Minister of",1376,Papua New Guinea Post-Courier (Port Moresby : 1969 - 1981),211.4287872314453,very relevant
"Immigrant - help body advocated By BRUCE JUDDERY Canberra needs a centra! co-ordinating and ""enabling"" body to look after the interests of. immigrants, accord ing to a discussion paper prepared ior the ACT Council of Social Service. The paper, 'Immigrant Problems and Meeds in the ACT', also urges that the provision of inter preting and translation services in the Territory be rationalised through a consultative committee representing interested departments and other bodies, including ethnic groups. The committee would set standards of qualifications and recom mend courses of training, systems of employment and use. ""Perhaps an ACT Migrant Resource Centre would be the appropriate employer of a panel of interpreters and trans lators to service the ACT"", suggests Mr Peter Watnev, the paper's author. ""Sixteen years of talk and reports should have provided sufficient material to achieve action this year. Interpreter service ""The resource centre could perhaps establish a telephone interpreter ser vice and co-operate with such other telephone ser vices as Life Line pnd the Citizens Advice Bureau"".  Mr Watriey's pape», drawing on 1971 census figures, says that 21.4 per cent of Canberra's popu lation was born in Europe (including 9.9 per cent from Britain and Ire land), and another 4.2 per cent from other countries. Queanbeyan's Europe bom population amounted to 25.9 per cent, only 5 per cent of which, came from Britain and Ireland. Problems faced by the migrant section oC the community included ""the high cost of accom modation and the pur chase of essential capital equipment,' such as furn iture, refrigerator, wash ing machine and trans port"", which put many migrant families in a ""severe déficit position"" on arrival here. Families under strain ""This deficit aggra vates many of the newly arrived immigrants' pro blems"", the paper states.' ""For example, a family under strain through differing rates of assimi lating the new language suffer, the additional strain of both parents having to work outside the home to pay for their' capital pur chases, and having less time to devote to the business of the home and supporting the children. This effect has been com mented on by a number of welfare agencies in Canberra"". Many immigrants had the strong feeling that, far from being welcome, ""they are here on suffer ance .until they become as indistinguishable as possible from Australians in language, speech, food, clothes and culture"". For many, learning a language was difficult. The Canberra Technical College had commented on the numbers of poten tially good tradesmen who were deficient in English — often they could speak, but not read or write it — or even illiterate. Many did not. wish to admit their illit eracy, and required personal tutoring in the language. The paper continues, ""It is not surprising thai young children, exposed to English, having to learn it at school and rc ceiving 'competent instruction, learn English faster than do their parents. A parent going out to work . .. learn faster than a parent working with fellow countrymen or staying at home ... 'Teachers can help' ""The end result is alien ation and tension in the family and a tendency for the children, under press ure from their teachers and their peers, to reject their mother tongue and culture. The results of this process are well known to welfare, workers in Can berra and are a cost to the community in both finan cial and cultural terms"". There was no public interpreter service in the ACT, Mr Walney point ed out Though courts paid the cost of inter preters those on, for in stance, the Canberra Hospital's list of inter preters ' were not paid extra for this service. The paper suggests thai teachers can ""help to re lease the immigrant chil dren from pressure to re ject .their mother .tongue and cultures by positively promoting interest in these and by a scrupulous avoidance of Austra lianising names and by treating foreign names, however unusual or diffi cult, with genuine re spect"". The ACT Schools Authority, - the Com monwealth . Teachers Federation, the Com monwealth Teaching Ser vice and ethnic groups should determine ways to start a pilot scheme to teach irii migrant lan guages and cultures in both primary and second ary schools. using migrant resources, if nec essary by relaxing quali fications.",110818791,https://api.trove.nla.gov.au/v3/newspaper/110818791,Immigrant- help body advocated,Article,1976-07-24,9,9,https://nla.gov.au/nla.news-article110818791?searchTerm=Immigrant,"Canberra needs a central co-ordinating and ""enabling"" body to look after the interests",11,The Canberra Times (ACT : 1926 - 1995),195.4341278076172,very relevant
"BRITAIN Immigrant ban alleged LONDON, Thursday (AAP-Reuter). — An immigrant advisory group yesterday accused Britain of throwing all pretensions of decency and humanity to the winds in order to prevent a group of its own citi- zens from gaining entry here. In a survey called Re- port on Shuttlecocks, the joint council for the wel- fare of immigrants quoted the case of an east Afri- can who spent 60 hours flying after being refused entry to Britain. The man had been flown from London to Sydney via Burundi, Ruanda, South Africa and Mauritius and back again to London where he was put in a detention centre. ""By that time he was completely disorientated and did not know what the date or day of the week was. ""The British Govern- ment over a period of three months threw all pretensions of decency and humanity to the winds in order to prevent a group of its own subjects from entering the country of which they were citizens"", the report said. In Strasbourg, France, the European Commission of Human Rights opened yesterday a hearing here of cases brought against the British Government by 31 Kenya and Uganda Asians.",110465101,https://api.trove.nla.gov.au/v3/newspaper/110465101,BRITAIN Immigrant ban alleged,Article,1970-10-09,5,5,https://nla.gov.au/nla.news-article110465101?searchTerm=Immigrant,"LONDON, Thursday (AAP-Reuter). — An immigrant advisory group yesterday accused",11,The Canberra Times (ACT : 1926 - 1995),195.41429138183594,very relevant
"Russian immigrant teaches Hittite “THE STUDY of the Hittite language is free of ideology, and: this is one of its at tractions,’’ explains Galya Kellerman, philologist, in structor and Ph.D. student in the small but active Depart ment of Assyriology at the Hebrew University of Jerusalem. Ms Kellerman, a new immigrant from Russia, states that she was always inclined towards the humanities, but that in the USSR all its other fields were deeply affected by communist ideology. She now teaches Hittite and is also currently writing her Doctoral disser tation, to aid in which she was recen tly awarded a scholarship from the Mauricio Richter Fund, which will assure her continued research and teaching for the next academic year. Galya Kellerman immigrated to Israel in November 1973, immediately following the Yom Kippur War, having graduated from Moscow State University, summa cum laude, in Classics and Hittite, an ancient Indo European language written in cuneiform. It was spoken by the people who inhabited ancient Anatolia, in the area that is Turkey, from ap proximately 1700 to 1200 BCE, and was only deciphered as recently as World War 1. Ms Kellerman worked one year at the Institute of Oriental Studies of the Academy of Sciences in Moscow, but resigned her position there before ap plying to immigrate in order to avoid making problems for those who had earlier helped her professionally. During the six months before she left Russia, she studied Hebrew in an underground ulpan which enabled her to teach in Hebrew after only a few months of further ulpan studies in Israel. WHILE HER emphasis had been linguistic, she adapted herself quickly to the Department of Assyriology in Israel, where the stress is on civilisations and cultures in ancient Western Asia. . She acquired a basic knowledge of the other major cuneiform languages (of Babylon and Assyria) and is now able to use Hittite as a tool in un derstanding Hittite culture, and as ar inseparable entity of cuneiforir literature. Prof. Hayim Tadmor, head of th&lt department, describes her as i brilliant philologist “unique in hei devotion to scholarship and an out standing asset to the department ii her exciting new field.” She is among the very few Hittit&lt scholars in the world, and the only on&lt at the Hebrew University, who work: from graphic reproductions or tran sliterations of cuneiform tablets. The tablets — over 20,000 have beer excavated so far — are to be found ir one of three museums, in East Berlin Istanbul and Ankara.  Ms Galya Kellerman",263238934,https://api.trove.nla.gov.au/v3/newspaper/263238934,Russian immigrant teaches Hittite,Article,1979-02-08,12,12,https://nla.gov.au/nla.news-article263238934?searchTerm=Immigrant,"“THE STUDY of the Hittite language is free of ideology, and this is one of its attractions,” explains Galya",1694,"The Australian Jewish Times (Sydney, NSW : 1953 - 1990)",195.29348754882812,very relevant
"American denied immigrant status BEN-GURION AIRPORT: A family of five would-be immig rants from Los Angeles who had been detained in the absorption terminal because the father has a history of mental illness were granted three-month (tourist) visas. Members of the Habad Hasidic movement, to which the family of Abraham Bar-On (MacKeagan until his con version six months ago) belongs, said they would take the family to Kfar Habad immediately. Bar-On, the Jewish divorcee he married after his conversion, and her three young children by her first husband — had originally planned to settle in the Kiryat Habad section of Safad. The family, which had made arrangements for aliya through the aliya of fices in Los Angeles, was detained on its entrance when it developed that there was an Interior Ministry order barring MacKeagan’s return to the country. This was because on a previous visit he had been hospitalized for a time in a Jerusalem mental in stitution. Under the Law of Return, a history of mental illness is sufficient grounds for refusing a person im migrant status. The family were to have been sent back to the US, but Habad lawyers in tervened and Attorney General Aharon Barak or dered a 24-hour stay. The Interior Ministry tourist visas then followed. Habad lawyers said that they will continue their ef forts to get the Bar-Ons temporary resident status. According to the Interior Ministry spokesman, Bar On — then MacKeagan — visited Israel six or seven times between 1963 and 1972. Itim reports that on his last visit, with his first, Christian wife, he was hospitalized. On his release they retur ned, divorced, and he joined the Habad movement and converted. His Jewish wife, whose children are aged 7,5 and 3, is also a recent addition to the Habad movement. Before it took the step of issuing visas, the Interior Ministry had said it wanted to clear up two matters: whether MacKeagan had been properly converted, and whether the couple had the right to take the children out of the US.",263303597,https://api.trove.nla.gov.au/v3/newspaper/263303597,American denied immigrant status,Article,1977-10-06,8,8,https://nla.gov.au/nla.news-article263303597?searchTerm=Immigrant,BEN-GURION AIRPORT: A family of five would-be immigrants from Los Angeles who had been detained in the absorption terminal because the father has a history of mental illness were granted three-month (tourist) visas.,1694,"The Australian Jewish Times (Sydney, NSW : 1953 - 1990)",194.975341796875,very relevant
"Dipfomatieke dienst voor immigrant CANBERRA. ACT — On der de 42 succesvolle kan d i d a t e n. die toegelateh zullen worden tot de Aus tralische diplomatieke dienst bevindt zich ook Leopold Albert Cruise, die in Badhoevedorp in Neder land is geboren. Dit is be kend gemaakt door het de partement van buitenland se zaken in Canberra.",224344097,https://api.trove.nla.gov.au/v3/newspaper/224344097,Diplomatieke dienst voor immigrant,Article,1971-01-22,2,2,https://nla.gov.au/nla.news-article224344097?searchTerm=Immigrant,,1044,"Dutch Australian Weekly (Sydney, NSW : 1951 - 1993)",194.4738006591797,very relevant
"HAIFA Israel’s most unusual immigrant - in the view of Jewish Agency officials, who have dealt with hundreds of thousands over the years - arrived here to settle with his wife and three children last week. He is the former Mr. Dieter von Schwarz,' 30, a member of a noble German Protestant family, now known as. Gershon Ben-Abraham. He is an archi tect by profession. He and his wife and children became pros elytes in 1968. Mr Ben-Abraham said that he intended to live as an Ortho dox Jew, although, politically, he was Left-wing. Among his ancestors, he stated, there had been a number of Jews con verted to Christianity. One of them, Gottlieb Suarez, wrote a constitution for Frederick the Great of Prussia, and another wrote the Austrian penal code for the Emperor Franz Josef. He took to studying Judaism after what the Nazis did to the Jews, Mr Ben-Abraham said, and , was converted by Rabbi Itzhak Grunwald, of Munich, after being circumcised at the Jewish hospital in Amsterdam. The yarmulka-wearing Mr. Ben-Abraham has been dis owned by hi? family because, they disapprove of his marriage. The Jewish Agency sent him and his wife and children to Afula family absorption centre, because they insisted on going to a place with a mikva. ' _ (JCNS)",263165333,https://api.trove.nla.gov.au/v3/newspaper/263165333,“ISRAEL'S MOST UNUSUAL IMMIGRANT,Article,1970-02-12,9,9,https://nla.gov.au/nla.news-article263165333?searchTerm=Immigrant,"HAIFA; Israel’s most unusual immigrant - in the view of Jewish Agency officials, who have dealt with hundreds",1694,"The Australian Jewish Times (Sydney, NSW : 1953 - 1990)",193.85325622558594,very relevant
"Leader at Immigrant Conference Victorian Jewish communal leader, Mr Walter Lippanann, attended the recent 65th meet ing of the Immigrant Advisory Council in Canberra. Mr Lippmann, who is presi dent of the. Victorian Jewish Board of Deputies, was among twenty-one members of the Council at the meeting. The Minister for Immigra tion, Dr Forbes, was present during discussions. The Council agreed to under take studies in four important aspects of migrant integration. The studies will be carried out by three committees of the Council. The Committee on Social Patterns will be investigating and reporting on the departure of settlers from Australia. They would inquire into the role of national groups. The Commit tee on Citizenship would con sider a wide range of factors concerned with naturalisation of eligible migrants. The Com mittee on Migrant Education will examine and report on varous aspects of the teaching of English to migrants. Chairman of the Council is Senator Gordon Davidson, of South Australia. Mr Lippmann has been a leading figure of (he Australian Jewish Welfare Society for many years. He has been particularly in terested in the demography of' Australian Jewry and has pub: lished several works on this subject.",263133104,https://api.trove.nla.gov.au/v3/newspaper/263133104,Leader at Immigrant Conference,Article,1971-10-28,5,5,https://nla.gov.au/nla.news-article263133104?searchTerm=Immigrant,"Victorian Jewish communal leader, Mr Walter Lippmann, attended the recent 65th meeting of the Immigrant Advisory",1694,"The Australian Jewish Times (Sydney, NSW : 1953 - 1990)",193.8260040283203,very relevant
"Illegal immigrant eludes police A Chinese illegal immigrant escaped from police custody at the ACT Law Courts yesterday. The man had been placed in the custody of the ACT Police by Commonwealth Police on Thurs day night for safe keeping and was to have been collected vester day and taken to Sydney for deportation. An ACT Police spokesman said last night that the man was 170 centimetres tall (5ft 7in), of medium build with collar-length hair and had been wearing a red and-blue shirt and pale-blue trniisRn:",110939267,https://api.trove.nla.gov.au/v3/newspaper/110939267,Illegal immigrant eludes police,Article,1979-04-07,3,3,https://nla.gov.au/nla.news-article110939267?searchTerm=Immigrant,A Chinese illegal immigrant escaped from police custody at the ACT Law Courts yesterday. The man had been placed in,11,The Canberra Times (ACT : 1926 - 1995),193.45452880859375,very relevant
"ISRAELI OLYMPIC DEAD (From page 28) ters, the eldest, aged 11 years, the youngest four months. Eliezer Halfin, 24, a free style wrestler, also immigrated from the Soviet Union. He was fourth in the Soviet youth championship before he came to Israel and he was .placed twelfth in the world wrestling championship in Bulgaria last year. David Berger, a 28-year-old weightlifter, immigrated from the United States in 1970. A lawyer, he was accorded second place in the overall ratings in the Asian championship in Manila last year. . Zeev Friedmann, 28, was rat ed as Israel’s best weightlifter competing in the bantamweight division. Yaacov Springer, 52, of Bat Yarn,' was Israel’s only Grade A international weightlifting referee. He was a Polish im migrant. Yosef Goftfreund, 40, of Jerusalem, was Israel’s only Grade A wrestling referee. An 18 year-old wrest- ] jer, Mark Slavin, who J immigrated from Russia &lt only four months ago, i was among the 11 Is- r raelis murdered at the I Olympics last week. I siavin was to hare made his Olympic debut oo the day of the assassinations. Brief biographies of the murdered Israelis reveal that ® Kehat Sfaorr, 53, the vet eran Tel Aviv coach of the national shooting team, trained Israel’s best shooting club members of the Ramat Gan Hapoel. Andre Spitzer, 30, the coach of the Ramat Gan fencing team, was trained in fencing in 'Belgium. Amitor Shapira, the track and field coach from Herzlia, brought Israel’s track star, Es ther Shahanirov, to her present peak condition for the Olym pic Games in Munich. Moshe Weinberg, 33, killed when the terrorists entered the Olympic Village, was a middle weight wrestling champion for many years and he won a gold medal at the Maccabiah Games. Brought up in Haifa, he was the coach of .the Is raeli wrestling team. Mr Wein berger was married eleven months ago to Miss Miriam Levy, an athlete, and their son, Gur, was born only three weeks ago. Before leaving for Mun ich, he left his wife and child in’ Petah Tikva to* be cared for by Miriam’s family. Yosef Romano, 32, of Tel Aviv Hapoel, was Israel’s weightlifting champion in the lightweight and middleweight division for the past nine years. He represented his country in all international competitions, including the world title events in Poland and Iran. Born in Libya, he lived in Herzlia. and he is survived by his wife, liana, and their three daugh (Continued page 27) S.",263132075,https://api.trove.nla.gov.au/v3/newspaper/263132075,RUSSIAN IMMIGRANT AMONG DEAD,Article,1972-09-14,27,27,https://nla.gov.au/nla.news-article263132075?searchTerm=Immigrant,"An 18 year-old wrestler, Mark Slavin, who immigrated from Russia only four months ago,",1694,"The Australian Jewish Times (Sydney, NSW : 1953 - 1990)",193.3875274658203,very relevant
"Soviet immigrant demand voice TEL AVIV: Soviet immigrants claim that they are denied representation in the various organ* isations purporting to work on behalf of Soviet Jews. The charge was made by the head of the Soviet Im migrants’ Association, Grisha Feigin, in a strongly worded message to par ticipants in the Jewish Agency Assembly. Feigin said that this was true both of the Jewish Agency and other organizations. Instead of giving new-comers a say in the struggle against Soviet Aliya restrictions and the tendency of Soviet Jews to ‘drop-out’ in Vienna, these vital decisions “are left in the hands of ‘veteran Zionist Functionaries,’ for most of whom the issue of Soviet Jewry is at best a hobby and at worst a business.” “At a time when everyone deals with Soviet Jews — from Jerusalem to i Washington, via Paris and London — the Soviet im migrants themselves are not given a chance to con tribute to this struggle. Meanwhile, over 110,000 immigrants from the USSR reside in Israel and can be of incalculable help,” Feigin’s message con tinued. Feigin further accused the Jewish establishment and World Jewry of “taking up the cause of Soviet Jews only when the Jewish re-awakening in the USSR had gained such in tensity that it broke through the Iron Curtain. We fought before that too — but the world was silent.” The activist chairman of the Immigrant Association finally asked the Jewish Agency not to regard the whole issue of Soviet Jewry “as political merchandise to be bartered between the Great Powers and used by them as a bargaining card.”",263289650,https://api.trove.nla.gov.au/v3/newspaper/263289650,Soviet immigrant demand voice,Article,1976-07-29,10,10,https://nla.gov.au/nla.news-article263289650?searchTerm=Immigrant,TEL AVIV: Soviet immigrants claim that they are denied representation in the various organisations purporting to work on behalf of Soviet Jews.,1694,"The Australian Jewish Times (Sydney, NSW : 1953 - 1990)",193.3875274658203,very relevant
