article_text,article_id,article_URL,article_heading,category,article_date,article_page,article_page_sequence,article_snippet,article_Trove_URL,article_edition,article_title_id,article_title_title,article_relevance_score,article_relevance_value
"PROHIBITED  IMMIGRANT.   At  the  District  Court  yesterday,  Detective-In-  spector  Christie  proceeded  against  John  B.  Booth,  master  of  the  British  ship  Windsor,  on  a  charge   of  having  allowed  Lum  You,  a  member  of  the  crew,  and  a  prohibited  immigrant,  to  enter  the  Commonwealth  contrary  to  the  provisions  of  the  Immigration  Restriction  Act.   Mr.  Quinn,  of  John  Sanderson  and  Co.,  agents  for  the  vessel,  represented  defendant,  and  ex-  plained  that  Lum  You  had  deserted  from  his  ship.  A  reward  of  £5  had  been  offered  for  his  appre-   hension.   Detective-Inpector  Christie  pointed  out  that  de-  fendant  was  fined  £10  for  a  similar  offence  in   October  last.   The  Bench  (Mr.  Dwyer,  P.M.,  and  Mr.  Verga,  J.P.)  fined  the  defendant  £10,  with  10/6  costs.",9887605,https://api.trove.nla.gov.au/v3/newspaper/9887605,PROHIBITED IMMIGRANT.,Article,1905-01-27,3,3,"At the District Court yesterday, Detective-[?]nspector Christi[?] proceeded against John B. Bo[?]th, master of the British ship Windsor, on a charge of having allowed Lum Yo[?] a member of his",https://nla.gov.au/nla.news-article9887605?searchTerm=Immigrant,,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",236.67529296875,very relevant
"PTJOHTllITKD  OmiOBANT.   Shine;  Kino;,  a  Chinese,  aged  21  years.   i-.,i  plain's  boy  on  the  s.s.  rhiqire,  appeared  I   at  City  Court  to-day  charged  with  he-!  inft  n  prohibited  immigrant.  The  defendant  |  vas  fined  .£25  a  fow  flays  arpo  for  smuggling;   opium.  'the  fine  v.-a.1?  paid  into  on  Saturday,  j   .and  he  could  not  return  to  his  -hip.  Tie'  wi&lt;s  consequently  arrrsf-ed  on  the  present  !  charge.  He  adntitled  the  offonce.  Defen-1  dant  vas  >&lt;nt  to  r?ao!  for  a  month  pending  i   a,  do  portal  inn  ovd-r-r  b*iug  i»?ncd.  In  all  {   probability  he  will  be  s?nt  to  Sydney  to  join  tlic  Kreyskv  aunin.",100512740,https://api.trove.nla.gov.au/v3/newspaper/100512740,PROHIBITED IMMIGRANT.,Article,1909-05-05,2,2,"Shing King, a Chinese, aged 21 years, captain's boy on the s.s. Empire, appeared at City Court to-day charged with being a prohibited immigrant. The defendant",https://nla.gov.au/nla.news-article100512740?searchTerm=Immigrant,,346,Bendigo Advertiser (Vic. : 1855 - 1918),236.21266174316406,very relevant
"IMMIGRANT  FARMERS.   A  large  number  of  capable  farm  hand*  from  England  are  now  reaching  Sydney  weekly  as  a  result  of  the  Government  assisted  immigration  operations.  Some  hundreds  of  these  men  have  already  been  placed  in,  our  rural  districts,  and  reports  received  show  that  in  the  large  majority  of  cases  they  have  given  general  satisfaction  to  the  farmers.  The  immigrants  on  arrival  are  received  by  the  Intelligence  Department,  the  officials  of  which  bring  them  into  touch  with  landowners  in  various  parts  of  the  country.",107199348,https://api.trove.nla.gov.au/v3/newspaper/107199348,IMMIGRANT FARMERS.,Article,1907-01-11,8,8,A LARGE number of capable farm hands from England are now reaching Sidney weekly as a result of the Government assisted immigration operations. Some,https://nla.gov.au/nla.news-article107199348?searchTerm=Immigrant,,514,The Peak Hill Express (NSW : 1902 - 1952),236.21266174316406,very relevant
"INDUSTRIOUS  IMMIGRANT  ^   .  The  information  lias  been  given  thai  the  first  ""tiruok'of  the  new  iseaspn'BC?""  x  to  be  sent  drway  iroin  Baande©  Siding,  near  iDbo&fifukine,  was  consigned  by  Mr  l  tParaonor,  some  of  whose  crops  had  reached  a  hei^it  of  Oft.  Information  fwas-Teceiv^d  from  ""the  Premier's!  office  8ast  night  &lt;Uiat  jtfi;.  Paramor  is  an  Etag  iliah  immigrant,  andl  has  only  been  in  ifchle  ^strict  info  yeans,,  and  yet  it  seems   rtfaat  he  is  the  first  there  to  commence  iftie  peason'8  trade  in  agrioulural  ®ro-  sr'  •  ""  :  tV-  ...""  ^",204579425,https://api.trove.nla.gov.au/v3/newspaper/204579425,INDUSTRIOUS IMMIGRANT,Article,1908-10-05,3,3 S,"The information has been given that the first truck of the new season’s chaff to be sent away from Baandee Siding, near, Doo[?]kine, was consigned by Mr.",https://nla.gov.au/nla.news-article204579425?searchTerm=Immigrant,SPORTING EDITION,975,"The Evening Star (Boulder, WA : 1898 - 1921)",236.21266174316406,very relevant
"PROHIBITED  IMMIGRANT.   Yesterday,  In  the  summons  division  of  the  Water  Police  Court,  before  Mr,  Donaldson,  S.M.,  Customs-officer  -Donohoe  proceeded  against  C.  Limbergh  on  the  Information  that   lie  was  the  master  of  the  steamshtp  ""rsman.  l'rom  which  a  prohibited  Immigrant  named  liloy  Tin  entered  the  Commonwealth.  De  fendant  pleaded  guilty,  and  "",  was  fined  £10,  with  8s  4d  costs.  '",228615474,https://api.trove.nla.gov.au/v3/newspaper/228615474,PROHIBITED IMMIGRANT.,Article,1903-07-30,6,6 S,"Yesterday, in the summons division of the Water Police Court, before Mr, Donaldson, S.M., Customs-officer Donohoe proceeded against C. Limbergh on the information that",https://nla.gov.au/nla.news-article228615474?searchTerm=Immigrant,FIRST EDITION,1178,"The Australian Star (Sydney, NSW : 1887 - 1909)",236.21266174316406,very relevant
"PROHIBITED  IMMIGRANT.   Sir  Horace  Tozer  (Agent-General  for  Queens  land)  relates  an  extraordinary  instauco  of  tho  Federal  Immigration  Restriction  Act.  ""When  he  was  leaving  England  for  Australia  recently  (says  tho  ""Brisbano  Courier"")  the  somewhat  delicate   health  of  Lady  Tozer  rendered  it  necessary  that  sho  should  havo  someone  to  attend  upon  her.  A  young  English  girl  was  selected  to  nccom-  pnny  lier,  nnd  of  eourso  she  would  not  leavo  without  some  definite  engagement.  Being  tech  nically  a  manual  worker  under  contract,  when  the  Marathon  caino  within  Commonwealth  juris  diction  she  stood  in  the  position  of  a  prohibited  Immigrant.  Bcrorc  she  was  allowed  to  land,  Sir  Horace  Tozer  had  to  dcclaro  that  site  was  only  a  visitor,  and  would  return  to  England  within  a  specified  time.  Ho  had,  In  fact,  to  undertake  that  sho  should  not  attempt  to  run  away  and  unlawfully  attempt  to  bccomo  a  resident  in  AVliitc  Australia.  This  perhaps  would  not  have  mattered  much  had  uot  circumstances  arisen  which  inclined  her  to  stay  here.  It  is  stated  that  on  tho  way  out  sho  met  soineono  to  whom  sho  becamo  engaged,  aud  whom  sho  wishes  to  marry.  Being,  however,  a  prohibited  immigrant,  though  a  very  desirable  colonist,  sho  'will  have  to  leavo  tlio  Commonwealth  at  tbo  end  of  tho  stipulated  period.",236913483,https://api.trove.nla.gov.au/v3/newspaper/236913483,PROHIBITED IMMIGRANT.,Article,1905-02-16,4,4,"Sir Horace Tozer (Agent-General for Queensland) relates an extraordinary instance of the Federal Immigration Restriction Act. ""When he was leaving England for Australia recently (says",https://nla.gov.au/nla.news-article236913483?searchTerm=Immigrant,,1297,"The Daily Telegraph (Sydney, NSW : 1883 - 1930)",236.21266174316406,very relevant
"PROHIBITED  IMMIGRANT.   At  the  Wafer  Summons  Court,  1).  Lena,  master  of  the  Prina  Sighsmnnd,  from  which  a  prohibited  immigrant  landed,  was  fined  £100.",237667880,https://api.trove.nla.gov.au/v3/newspaper/237667880,PROHIBITED IMMIGRANT.,Article,1906-11-17,18,18,"At the Wafer Summons Court, D. Lena, master of the Prinz Sigismund, from which a prohibited immigrant landed, was fined £100.",https://nla.gov.au/nla.news-article237667880?searchTerm=Immigrant,,1297,"The Daily Telegraph (Sydney, NSW : 1883 - 1930)",236.21266174316406,very relevant
"Prohibited  Immigrant   R.  J.  Dagleish,  inaflter  of  the  s.s.  Charon  was  chui-gert  in  the  1'ivmnr.tle  Police  Court  this  morning-  with  having  on  May  5th,  permitted  a  prohibited  immigrant.,  named  Tom  Ah  Yam,  to  lnnd  in  the  State,  contrary  to  the  provisions  of  the  Immigration  Restriction  Act,  and  nleadcd  •puilly,  tho  usurI  penalty  of  £l'00  with  costs  being  imposed.  D.  Crawoour  was  charged  in  ^  the  Frcmantlc  Police  Court  this  morning,  with  having  refused  to  give  up  a  gun,  valued  at  30  guineas,  which  had  come  into  his  possession  on  July  11,  1906,  by  virtue  of  his  trade  as  a  pawnbroker,  to  the  lawful  owner;  Thomas  Norman.  Detective  Walsh  gave  evidence  for  the  defenco,  after  which  the  benfch  ordered  that  the  gun  be  returned  to  Mr.  Norman  oh  payment  of  £2  advanced  on  it.  Edward  Vivian  was  charged  in  the  Fremantlo  Police  Court  this  morning,  before  Mr.  Axel  Ostlund,  P.M.,  and  Mr  W.  A.  Murphy,  J.P.,;  that  on  the  8th  inst.,  being  the  licensee  of  the  Newcastle  Club  Hotel,  he  permitted  women  •of  ill-famo  to  remain,  on  his  licensed  premises.  The  bench,  dismissed  '  the  ease.  Michael  Clarice  was  charged  in  the  Fremantle  Police  Court  this  morning,  with  having  on  the  16th  inst.,  at  'Fromantle,  unlawfully  assaulted  Alfred  Beaumont,  barman,  at  Pier  Ho-  (liel.  Mr.  R.-S.  Boultbee  appealed  for  the  proseoution,  and  Mr,  R.  I)..  Beresford  defended.  A  fine  of  10/,  with'  fcoBts,  in  default  seven  days'  impiv  sonment,  was  imposed,  ,  •",256597783,https://api.trove.nla.gov.au/v3/newspaper/256597783,Prohibited Immigrant,Article,1907-06-21,4,4,"R. J. Dagleish, master of the s.s. Charon was charged in the Fremantle Police Court this morning with having on May 5th, permitted a",https://nla.gov.au/nla.news-article256597783?searchTerm=Immigrant,,1523,"The Evening Mail (Fremantle, WA : 1905 - 1910)",236.21266174316406,very relevant
"Immigrant  Hunting.  -   Rev.  J.  A.  Soper,  of  Basingtoke,  ?  Ener.,  is  putting  in  some  romantic  work  as  emigration  lecturer  at  present—  The  London  correspondent  of  the  Syd  ney  'Telegraph'  saya;  ?  His  handbills  show  a  photograph  of  a  typical  settlor's  first  itistnlrannt  of  housebuild   Jng^Jln_tiie_fir-s---pi€ture--5rou—  see-little  -more  than  a  iiumpy  on  tfoc  edge  oT~frh~e~  \n-g  scrub.  In  the  second  Mr.  Sopcr  ~5trows~a  station  homestead,  ?with-a-fine  expanse  of  garden  and  lawns  and  drives,  and)  a.  motor-car  in  the  foreground.  Ttae  Tsytlffbus  ot  -Mr.  8oper's  lectaro  is,  like  the  pictures,  melodramatic.  These  are  some  of  the  titbits  it  contains1  :  The  ?  Southern  Cross,  A  Land  of~  SiHrehine,  Convict  Days,  A  Leap  for  Life,  Stories  of  Bushranging,  Picking  up  G-old  in.  the  ^trteobs,  -  -Sunny  Hearts  —  and-,  -  5uuny  Homes:,  A  Wonderful  Harvest^Sihiploads  of  Mutton,  Rabbits1  toy  theiMillion.The   Greatest  Wool  Clip  in  the  World,  Nat  turc's  Storehouse,  The  Vineyard  aoid  Granary  of  tho  Empire,  The  Home  of  Industry  and  Enterprise,  Qpptortunvtaes  Unequalled  in  any  other  Partvof  tho  WoridT-R-wm-*OT-3Hiuu»an4fl  of  British  Workers,  The  Tide  oflmmi|-?at'ion  now   Flows  South  to  Australia  Felix,  All  round  Briskness,  The  Working-mam's  Paradise,  I  say  !  Why  don't  YOU  emigrate  ?  Secretary  Bow  c  (Longreach)  acknow  ledges  as  having  'received  the  following  subscript,  ons  :  Collected  }-y  G.  Olive  from  shaft)  hands  Lerida,  in  aid  of  Hugh  enden  and-'  Muttaburra  Hospitals,  £5  6s.  ;  W.  J.  Livingstone,  jun.,  from  shearers,  Sesbania,  for  Hughenden  Hos  pital,  £3  4s.;  for  Springsure  Hospital,  D.  Wakefield,  from  shearers  and  shed  hands,  £5  15s.  6d.;  from,  Logan  Downs,  Joseph  Kane,  £3  5s.,  for  Peak  Downs1.  Hospital  ;  J.  Harne5r,  for  'Worker,'  15s.  9d.,  by  J.  Buckley,  ttichmonn,  7e.  9d.,  for  Broken  'Hill,  J.  Cranfell,  Logan  Downs,  £2  8b.  Gd.;  Joseph  Kane,  10/-.",70875931,https://api.trove.nla.gov.au/v3/newspaper/70875931,Immigrant Hunting.,Article,1909-04-24,15,15,"Rev. J. A. Soper, of Basingtoke, Eng., is putting in some romantic work as emigration lecturer at present. The London correspondent of the",https://nla.gov.au/nla.news-article70875931?searchTerm=Immigrant,,191,"Worker (Brisbane, Qld. : 1890 - 1955)",236.21266174316406,very relevant
"PROHIBITED  IMMIGRANT.   Some  time  ago  a  foreigner  named  Hans  Max  Stelling  ,  second  officer  on  board  a  German  sailing  ship  ,  was  sentenced  at  Newcastle  to  six  months'  imprisonment  on  a  charge  of  smuggling.    After  he  completed  his  sentence  he  was  charged  with  being  a  prohibited  immigrant.  The  Prime  Minister  says  he  has  no  knowledge  of  the  circumstances  ,  but  Mr.  Atle?  Hunt,  secretary  to  the  Department  of  External  Affairs,  was  able  to  supply  some  information.     He  admits  that  he  ordered  the  prosecution  of  the  officer  as  being  a  prohibited    immigrant,  because  he  failed  to  pass  a  language  test  in  Greek.  Mr.  Hunt  ,  however,  says  he  did  not  know  that  the  man  was  a  German  ,  as  he  had  been  described  all  through  as  a  colored  person,  and  on  the  ship's-articles   he  was  set  down  as  an  Egyptian.",89493801,https://api.trove.nla.gov.au/v3/newspaper/89493801,PROHIBITED IMMIGRANT.,Article,1903-12-09,6,6,"Some time ago a foreigner named Hans Max Stelling, second officer on board a German sailling ship, was sentenced at Newcastle to six months' imprisonment on a charge of",https://nla.gov.au/nla.news-article89493801?searchTerm=Immigrant,,346,Bendigo Advertiser (Vic. : 1855 - 1918),236.21266174316406,very relevant
